Age,Date,Value
16-19,2002,27.7
16-19,2003,26.7
16-19,2004,28.3
16-19,2005,27.8
16-19,2006,25.4
16-19,2007,23.3
16-19,2008,20.6
16-19,2009,22.1
16-19,2010,22.5
16-19,2011,23.3
16-19,2012,19.8
16-19,2013,16.5
16-19,2014,19.3
16-19,2015,18.9
16-19,2016,17.8
16-19,2017,16.5
16-19,2018,16.8
16-19,2019,18.4
16-19,2020,21.1
20-24,2002,29.1
20-24,2003,29.8
20-24,2004,28.6
20-24,2005,27
20-24,2006,24.6
20-24,2007,24.8
20-24,2008,21.9
20-24,2009,22.7
20-24,2010,18.2
20-24,2011,18.6
20-24,2012,19.1
20-24,2013,15.9
20-24,2014,18.8
20-24,2015,19.9
20-24,2016,18.2
20-24,2017,21
20-24,2018,21.8
20-24,2019,21.7
20-24,2020,21
25-29,2002,19.5
25-29,2003,20.3
25-29,2004,20.8
25-29,2005,16.8
25-29,2006,17.6
25-29,2007,16.2
25-29,2008,16
25-29,2009,16
25-29,2010,13.3
25-29,2011,13.9
25-29,2012,14.1
25-29,2013,12.8
25-29,2014,13
25-29,2015,12.5
25-29,2016,13
25-29,2017,11.5
25-29,2018,13.5
25-29,2019,16.4
25-29,2020,14.6
30-34,2002,12.5
30-34,2003,13.8
30-34,2004,13.1
30-34,2005,13.2
30-34,2006,11.8
30-34,2007,11.2
30-34,2008,10.9
30-34,2009,11.4
30-34,2010,8.9
30-34,2011,8.8
30-34,2012,10.3
30-34,2013,8.6
30-34,2014,9.3
30-34,2015,8.2
30-34,2016,8.6
30-34,2017,8.8
30-34,2018,9.1
30-34,2019,9.3
30-34,2020,8.4
35-44,2002,7.5
35-44,2003,7.4
35-44,2004,7.9
35-44,2005,7.3
35-44,2006,6.6
35-44,2007,5.9
35-44,2008,6.1
35-44,2009,6.1
35-44,2010,5.5
35-44,2011,5.5
35-44,2012,5.6
35-44,2013,6
35-44,2014,6.6
35-44,2015,6.4
35-44,2016,5.8
35-44,2017,6.3
35-44,2018,6.4
35-44,2019,6.4
35-44,2020,6.6
45-54,2002,3.5
45-54,2003,3.6
45-54,2004,3.9
45-54,2005,3.4
45-54,2006,2.9
45-54,2007,3
45-54,2008,2.7
45-54,2009,3.1
45-54,2010,2.5
45-54,2011,2.8
45-54,2012,3.1
45-54,2013,3.6
45-54,2014,3.5
45-54,2015,3.2
45-54,2016,3.5
45-54,2017,3.4
45-54,2018,4.1
45-54,2019,4
45-54,2020,4.1
55-59,2002,1.2
55-59,2003,1.8
55-59,2004,1.9
55-59,2005,1.5
55-59,2006,1.5
55-59,2007,1.7
55-59,2008,1.7
55-59,2009,1.7
55-59,2010,1.5
55-59,2011,1.6
55-59,2012,1.8
55-59,2013,2.3
55-59,2014,1.5
55-59,2015,2.4
55-59,2016,2.2
55-59,2017,2
55-59,2018,2
55-59,2019,1.7
55-59,2020,2.8
