Drug,Class,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,
Any cocaine,A,801,682,697,630,777,756,738,764,903,987,871,815,,
Powder cocaine,A,781,670,685,615,768,743,725,760,895,976,857,810,,
Crack cocaine,A,64,51,44,46,48,47,31,19,23,27,22,33,,
Ecstasy,A,500,434,447,401,516,545,492,439,559,524,463,366,,
Hallucinogens,A,159,174,169,117,182,218,163,144,223,240,225,341,,
LSD,A,58,68,62,52,102,115,57,84,134,119,93,129,,
Magic mushrooms,A,131,140,145,96,119,173,129,84,142,170,166,279,,
Opiates,A,50,75,92,38,64,40,42,24,32,32,22,30,,
Heroin,A,34,34,43,27,34,21,27,15,23,22,11,13,,
Methadone,A,33,58,67,29,50,27,25,13,19,19,16,21,,
Any amphetamine,B,312,333,261,214,258,202,199,153,176,193,117,110,,
Amphetamines,B,300,323,251,206,246,193,198,145,173,188,107,105,,
Methamphetamine,A,17,21,19,17,26,24,15,16,16,11,10,17,,
Cannabis,B,"2,131","2,147","2,207","2,032","2,144","2,174","2,121","2,177","2,420","2,572","2,570","2,515",,
Ketamine,B,156,197,183,117,195,159,94,116,266,261,277,299,,
Mephedrone ,B,432,430,336,168,211,162,89,48,30,8,11,8,,
Tranquillisers,B,146,139,163,142,162,173,126,136,205,135,164,151,,
Anabolic steroids,C,49,50,69,57,67,72,54,61,62,62,31,34,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
