year,life_exp
1950,68.6
1951,68.2
1952,69.5
1953,69.8
1954,70.2
1955,70.1
1956,70.4
1957,70.5
1958,70.7
1959,70.8
1960,71
1961,70.8
1962,70.9
1963,70.8
1964,71.5
1965,71.5
1966,71.4
1967,72.1
1968,71.7
1969,71.7
1970,71.9
1971,72.2
1972,72
1973,72.2
1974,72.4
1975,72.7
1976,72.6
1977,73.1
1978,73
1979,73.2
1980,73.6
1981,73.9
1982,74
1983,74.3
1984,74.7
1985,74.5
1986,74.8
1987,75.1
1988,75.3
1989,75.4
1990,75.7
1991,75.9
1992,76.3
1993,76.2
1994,76.7
1995,76.6
1996,76.9
1997,77.1
1998,77.3
1999,77.4
2000,77.9
2001,78.1
2002,78.2
2003,78.3
2004,78.9
2005,79.1
2006,79.4
2007,79.5
2008,79.7
2009,80.2
2010,80.4
2011,80.8
2012,80.9
2013,80.9
2014,81.2
2015,80.9
2016,81.1
2017,81.2
2018,81.1
2019,81.7
2020,80.4
2021,80.7
